"eco_values","species","latitude","longitude","date_obs","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","occurrence_id","tmax_mean_c","prec_annual","tas_current_october_c","tas_future_october_2050_c","delta_tas_october_c","NDVI"
97,"Tyto alba",42.7101,13.611,2026-02-25,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",878,1,14.0000000000001,1161,10.85,11.7500000000001,0.900000000000034,0.8347
97,"Athene noctua",45.7919247696,9.9899002165,2025-06-19,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",400,2,14.6416666666667,1316,11.35,12.45,1.10000000000002,0.831
107,"Athene noctua",41.9712367518,13.7278972572,2026-02-25,"inat","Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300",1134,3,14.4666666666667,1129,10.85,11.7500000000001,0.900000000000034,0.5914
113,"Athene noctua",45.805891,9.885596,2026-02-20,"gbif","Cool Temperate","Moist","Settlement","Mountains","Cool Temperate Moist",61,67,0,"Cool Temperate Moist Settlement on Mountains","#3D4300",480,4,15.2333333333333,1140,11.85,12.95,1.10000000000002,0.6661
160,"Tyto alba",45.096031,11.433797,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",8,5,19,540,14.95,16.05,1.09999999999997,0.5385
160,"Tyto alba",45.99762,13.121382,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",58,6,17.6833333333333,1026,13.85,14.95,1.10000000000002,0.645
160,"Tyto alba",45.952216,13.097112,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",34,7,17.7333333333333,990,14.15,15.15,1,0.5127
160,"Tyto alba",45.731664,13.387375,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",0,8,16.8083333333334,1039,15.95,16.95,1,0.6093
160,"Tyto alba",45.27993,9.748806,2026-03-11,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",64,9,18.325,787,14.15,15.35,1.19999999999999,0.3578
160,"Tyto alba",45.777188,13.424653,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",0,10,16.9416666666667,1083,15.65,16.65,1,0.6032
160,"Tyto alba",44.45569,11.872089,NA,"gbif","Warm Temperate","Moist","Cropland","Plains","Warm Temperate Moist",105,207,54,"Warm Temperate Moist Cropland on Plains","#69CF36",9,11,20.1250000000001,400,15.65,16.65,1,0.4761
